Date,Price
20191209,2.17
20191206,2.31
20191205,2.42
20191204,2.43
20191203,2.42
20191202,2.29
20191127,2.46
20191126,2.51
20191125,2.51
20191122,2.62
20191121,2.53
20191120,2.56
20191119,2.53
20191118,2.64
20191115,2.7
20191114,2.68
20191113,2.66
20191112,2.72
20191111,2.87
20191108,2.87
20191107,2.84
20191106,2.82
20191105,2.77
20191104,2.77
20191101,2.54
20191031,2.73
20191030,2.71
20191029,2.61
20191028,2.49
20191025,2.26
20191024,2.33
20191023,2.34
20191022,2.21
20191021,2.13
20191018,2.08
20191017,2.29
20191016,2.44
20191015,2.29
20191014,2.13
20191011,2.13
20191010,2.26
20191009,2.26
20191008,2.29
20191007,2.36
20191004,2.25
20191003,2.31
20191002,2.36
20191001,2.36
20190930,2.37
20190927,2.41
20190926,2.57
20190925,2.54
20190924,2.55
20190923,2.55
20190920,2.34
20190919,2.65
20190918,2.72
20190917,2.7
20190916,2.75
20190913,2.61
20190912,2.62
20190911,2.63
20190910,2.67
20190909,2.65
20190906,2.49
20190905,2.49
20190904,2.48
20190903,2.39
20190902,2.33
20190830,2.33
20190829,2.36
20190828,2.24
20190827,2.24
20190826,2.23
20190823,2.15
20190822,2.28
20190821,2.31
20190820,2.35
20190819,2.26
20190816,2.2
20190815,2.19
20190814,2.22
20190813,2.24
20190812,2.21
20190809,2.09
20190808,2.13
20190807,2.18
20190806,2.15
20190805,2.02
20190802,2.12
20190801,2.36
20190731,2.28
20190730,2.22
20190729,2.23
20190726,2.23
20190725,2.26
20190724,2.33
20190723,2.34
20190722,2.33
20190719,2.3
20190718,2.38
20190717,2.44
20190716,2.53
20190715,2.53
20190712,2.54
20190711,2.54
20190710,2.49
20190709,2.41
20190708,2.39
20190703,2.29
20190702,2.3
20190701,2.33
20190628,2.42
20190627,2.32
20190626,2.34
20190625,2.31
20190624,2.31
20190621,2.27
20190620,2.38
20190619,2.43
20190618,2.44
20190617,2.46
20190614,2.37
20190613,2.43
20190612,2.43
20190611,2.41
20190610,2.42
20190607,2.43
20190606,2.4
20190605,2.45
20190604,2.45
20190603,2.5
20190531,2.59
20190530,2.69
20190529,2.69
20190528,2.65
20190527,2.6
20190524,2.6
20190523,2.56
20190522,2.73
20190521,2.73
20190520,2.7
20190517,2.61
20190516,2.62
20190515,2.69
20190514,2.7
20190513,2.71
20190510,2.64
20190509,2.62
20190508,2.64
20190507,2.54
20190506,2.54
20190503,2.59
20190502,2.63
20190501,2.59
20190430,2.59
20190429,2.58
20190426,2.58
20190425,2.54
20190424,2.53
20190423,2.53
20190422,2.61
20190418,2.54
20190417,2.55
20190416,2.66
20190415,2.75
20190412,2.75
20190411,2.72
20190410,2.72
20190409,2.71
20190408,2.72
20190405,2.62
20190404,2.66
20190403,2.74
20190402,2.76
20190401,2.73
20190329,2.73
20190328,2.69
20190327,2.69
20190326,2.74
20190325,2.72
20190322,2.75
20190321,2.86
20190320,2.86
20190319,2.92
20190318,2.9
20190315,2.95
20190314,2.95
20190313,2.87
20190312,2.83
20190311,2.86
20190308,2.9
20190307,2.9
20190306,3.18
20190305,3.18
20190304,4.25
20190301,3.19
20190228,2.89
20190227,2.89
20190226,2.74
20190225,2.84
20190222,2.74
20190221,2.73
20190220,2.69
20190219,2.69
20190218,2.59
20190215,2.59
20190214,2.61
20190213,2.61
20190212,2.71
20190211,2.76
20190208,2.66
20190207,2.62
20190206,2.58
20190205,2.54
20190204,2.57
20190201,2.7
20190131,2.82
20190130,3
20190129,2.94
20190128,3.05
20190125,3.07
20190124,3.13
20190123,3.13
20190122,3.43
20190121,3.43
20190118,3.43
20190117,3.58
20190116,3.58
20190115,3.54
20190114,3.36
20190111,2.95
20190110,2.95
20190109,2.92
20190108,2.89
20190107,2.74
20190104,2.8
20190103,2.72
20190102,3.25
20181228,3.25
20181227,3.1
20181226,3.42
20181221,3.7
20181220,3.7
20181219,3.64
20181218,3.8
20181217,3.8
20181214,3.99
20181213,4.31
20181212,4.53
20181211,4.53
20181210,4.54
20181207,4.51
20181206,4.44
20181205,4.69
20181204,4.4
20181203,4.4
20181130,4.61
20181129,4.5
20181128,4.5
20181127,4.28
20181126,4.28
20181121,4.7
20181120,4.65
20181119,4.65
20181116,4.3
20181115,4.69
20181114,4.1
20181113,4.1
20181112,3.96
20181109,3.74
20181108,3.54
